Model,GHS_Column,Pictogram_Code,Actual_Meaning,Threshold_Type,Threshold_Value,N_Test,N_Test_Positive,AUC_ROC,Average_Precision,F1,MCC,Precision,Recall,Specificity,TN,FP,FN,TP,AUC_bootstrap_mean,AUC_CI95_lower,AUC_CI95_upper
SVM,GHS05_Corrosive,GHS05,Corrosive (corrosion),calibrated_F1,0.276596,24352,4333,0.8551,0.6395,0.5915,0.4963,0.5427,0.6499,0.8815,17646,2373,1517,2816,0.855,0.8486,0.8619
SVM,GHS05_Corrosive,GHS05,Corrosive (corrosion),safety_recall90,0.058622,24352,4333,0.8551,0.6395,0.4542,0.3489,0.303,0.9065,0.5486,10982,9037,405,3928,0.855,0.8486,0.8619
SVM,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),default_0.5,0.5,24352,1520,0.7425,0.1868,0.0117,0.0575,0.6429,0.0059,0.9998,22827,5,1511,9,0.7426,0.729,0.7555
SVM,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),calibrated_F1,0.134883,24352,1520,0.7425,0.1868,0.264,0.21,0.2069,0.3645,0.907,20709,2123,966,554,0.7426,0.729,0.7555
SVM,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),safety_recall90,0.026945,24352,1520,0.7425,0.1868,0.1595,0.1322,0.0879,0.8618,0.4045,9236,13596,210,1310,0.7426,0.729,0.7555
SVM,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),default_0.5,0.5,24352,21967,0.7681,0.9647,0.9481,0.0867,0.904,0.9967,0.0247,59,2326,73,21894,0.7679,0.7582,0.7778
SVM,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),calibrated_F1,0.316579,24352,21967,0.7681,0.9647,0.9485,0.0281,0.9022,1.0,0.0013,3,2382,1,21966,0.7679,0.7582,0.7778
SVM,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),safety_recall90,0.740947,24352,21967,0.7681,0.9647,0.927,0.2452,0.9257,0.9283,0.314,749,1636,1575,20392,0.7679,0.7582,0.7778
SVM,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),default_0.5,0.5,24352,1360,0.8062,0.2579,0.0634,0.1208,0.5111,0.0338,0.9981,22948,44,1314,46,0.8063,0.7948,0.8181
SVM,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),calibrated_F1,0.153138,24352,1360,0.8062,0.2579,0.3392,0.2977,0.2956,0.3978,0.9439,21703,1289,819,541,0.8063,0.7948,0.8181
