Feature,GHS01_Explosive,GHS02_Flammable,GHS03_Oxidising,GHS04_CompressedGas,GHS05_Corrosive,GHS06_AcuteToxicity,GHS07_Irritant,GHS08_HealthHazard,GHS09_Environmental,Mean_across_all_classes
Morgan_214,0.0009483264,0.0015434225,0.0018804036,0.059971865,0.0010749986,0.00017026356,0.0026872917,0.010844705,0.001357563,0.008942094
Morgan_797,0.0,0.003294432,0.0,0.0,2.6164995e-05,0.0011705474,0.012061599,0.049173553,0.011379131,0.00856727
Morgan_59,0.0,0.0011153065,0.00032104048,0.06945623,4.8466776e-05,6.906036e-05,0.0020988637,0.0024452265,0.0006329326,0.008465236
Morgan_251,0.0,0.0038262005,0.0016805752,0.001335139,0.061808247,0.0016245333,0.001735611,0.0012073942,0.0026642636,0.008431329
Morgan_1004,0.00039654254,0.0017590646,0.0074658687,0.021041704,0.0013345265,0.0019147545,0.02445083,0.016975531,0.00045069226,0.008421057
MACCS_165,0.0,0.0069054677,0.0,0.04534422,6.5206026e-05,0.0,0.013257565,0.00934324,0.00077233295,0.00840978
Morgan_64,0.0007226835,0.0071824836,0.03925532,0.0,0.011003172,0.0033599888,0.00448235,0.0022367784,0.006964577,0.008356373
MACCS_85,0.012426101,0.014642938,0.0042009074,0.00011658399,0.0026780202,0.013158586,0.0063237743,0.018907743,0.0020850985,0.008282195
MACCS_29,1.8863126e-05,0.0042911246,0.054775428,0.0023583167,0.0011331352,0.0067610065,0.0011351038,0.000544297,0.0032163744,0.008248183
MACCS_99,0.00042249032,0.002692129,0.006101988,0.012546163,0.0043009464,0.0073331036,0.0058990433,0.019748753,0.014954211,0.008222092
Morgan_361,0.0012051616,0.0035725725,0.046180494,0.0017065624,0.009025367,0.0014085994,0.0043860916,0.005150757,0.001099796,0.008192822
Morgan_268,0.0045266314,0.0011053929,0.003003502,0.0050641503,0.03194709,0.0011960353,0.021539478,0.0012700978,0.0025419805,0.008021596
MACCS_120,0.0010030634,0.0050419774,0.015727416,0.0,0.0072440766,0.026267743,0.003095334,0.0072146924,0.00655159,0.00801621
Morgan_114,0.0,0.01773795,0.025476908,0.007914675,0.00091448484,0.0005071934,0.0059908666,0.0016824751,0.007340247,0.0075072
Morgan_1020,0.0,0.00017473142,0.00020325782,0.06477989,0.00026267843,5.6019853e-05,0.00014192468,0.001173078,4.5484434e-05,0.0074263415
MACCS_79,0.00034581116,0.0111500565,0.013143809,0.0067798574,0.016397422,0.00048456973,0.0040307688,0.012202413,0.0021038554,0.007404285
Morgan_314,0.0039095636,0.01226494,0.0027883402,0.0008192147,0.029082792,0.0023942352,0.009927645,0.002829027,0.0023429918,0.0073731947
MACCS_47,0.0017788867,0.015267992,0.0,0.0,0.0063042287,0.007413849,0.017572679,0.0052004666,0.012125745,0.0072959834
MACCS_116,0.0004831475,0.0045997086,0.0036656414,0.017051205,0.0026271453,0.003888231,0.003505228,0.018155321,0.011437937,0.0072681736
Morgan_715,0.00042812593,0.006667063,0.04032343,0.0006547623,0.0015925084,0.0007729407,0.013322392,0.0007472794,0.000514902,0.0072248224
Morgan_392,0.0012195542,0.011029873,0.009469979,0.006600388,0.0008664019,0.0013439147,0.023305569,0.009278782,0.001637411,0.007194653
MACCS_72,0.011218003,0.010423311,0.022909958,0.0042169504,0.0012405468,0.0011652376,0.0017513852,0.003527178,0.0056264903,0.006897674
MACCS_118,0.00056252774,0.02249159,0.022441592,0.0076411343,0.0025123698,0.0007106309,0.0014426619,0.0025676328,0.0013830744,0.006861469
MACCS_77,0.019929817,0.0037742476,0.00014642814,0.0,0.020886615,0.0037961546,0.0016899687,0.0069075003,0.004575152,0.006856209
Morgan_294,0.00034794427,0.008923581,0.028501606,0.0073402063,0.006131015,0.00036639124,0.0046945247,0.0014308741,0.0022738543,0.0066677774
MACCS_73,0.0,0.005735459,0.017181253,0.012223961,0.018053137,0.00065605814,0.0023172887,0.000940135,0.0023247842,0.0066035637
MACCS_51,5.9989397e-05,0.0101836035,0.007074561,0.001089776,0.00035528286,0.00890095,0.0010742622,0.0036203647,0.025975103,0.006481543
